hour,20211124,20211125,20211126,20211127,20211128,20211129,20211130,20211201,20211202,20211203
00.00,,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
01.00,,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
02.00,,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
03.00,,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
04.00,,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
05.00,,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
06.00,,"0,1 cm","0,1 cm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
07.00,,0 mm,"0,1 cm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
08.00,,"0,2 cm","0,1 cm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
09.00,,"0,5 cm","0,1 cm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
10.00,,"0,7 cm","0,1 cm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
11.00,,"0,9 cm","0,1 cm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
12.00,,"0,9 cm","0,1 cm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
13.00,0 mm,"1,0 cm","0,1 cm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
14.00,0 mm,"1,0 cm","0,1 cm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
15.00,0 mm,"1,0 cm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
16.00,0 mm,"0,8 cm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
17.00,0 mm,"0,4 cm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
18.00,0 mm,"0,1 cm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
19.00,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
20.00,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
21.00,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
22.00,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
23.00,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
