hour,20211124,20211125,20211126,20211127,20211128,20211129,20211130,20211201,20211202,20211203
00.00,,-10°,-8°,-11°,-17°,-16°,-14°,-14°,-12°,-12°
01.00,,-11°,-8°,-11°,-17°,-16°,-14°,-14°,-13°,-13°
02.00,,-10°,-8°,-12°,-17°,-16°,-15°,-14°,-13°,-13°
03.00,,-10°,-8°,-12°,-16°,-16°,-15°,-14°,-13°,-13°
04.00,,-9°,-8°,-13°,-16°,-15°,-15°,-14°,-13°,-12°
05.00,,-9°,-8°,-13°,-16°,-15°,-15°,-14°,-13°,-12°
06.00,,-9°,-7°,-14°,-16°,-15°,-14°,-14°,-12°,-11°
07.00,,-8°,-7°,-14°,-17°,-14°,-14°,-13°,-12°,-11°
08.00,,-8°,-6°,-14°,-17°,-14°,-13°,-13°,-12°,-10°
09.00,,-8°,-6°,-14°,-17°,-14°,-13°,-13°,-12°,-10°
10.00,,-8°,-7°,-14°,-17°,-14°,-13°,-12°,-11°,-10°
11.00,,-8°,-7°,-14°,-17°,-14°,-13°,-12°,-11°,-10°
12.00,,-8°,-7°,-15°,-17°,-14°,-13°,-12°,-11°,-10°
13.00,-4°,-7°,-7°,-15°,-16°,-14°,-12°,-12°,-11°,-9°
14.00,-5°,-7°,-7°,-15°,-16°,-14°,-12°,-11°,-10°,-9°
15.00,-6°,-7°,-7°,-16°,-17°,-14°,-12°,-11°,-11°,-9°
16.00,-6°,-7°,-7°,-17°,-17°,-14°,-12°,-11°,-11°,-10°
17.00,-6°,-7°,-7°,-18°,-17°,-14°,-12°,-11°,-11°,-10°
18.00,-7°,-7°,-8°,-18°,-17°,-14°,-13°,-11°,-11°,-10°
19.00,-7°,-7°,-8°,-17°,-17°,-14°,-13°,-11°,-11°,-11°
20.00,-8°,-8°,-8°,-17°,-17°,-14°,-13°,-11°,-12°,-11°
21.00,-9°,-7°,-9°,-17°,-17°,-13°,-13°,-12°,-12°,-11°
22.00,-10°,-7°,-10°,-17°,-16°,-13°,-13°,-12°,-12°,-11°
23.00,-10°,-8°,-10°,-17°,-16°,-13°,-13°,-12°,-12°,-11°
