,farmName,avgRating,numReview,createdAt,frequency,totalReviewsLastYear,latestReview,avgRatingLastYear
0,Parkside Farm Pick Your Own,4.6,1586,2021-11-16T14:32:54,0.0680379746835443,159,0.25,4.4
1,F W Elgey Pyo Fruit And Vegetables,4.9,27,2021-11-16T14:33:12,0.14285714285714285,8,3.0,4.8
2,Felderland PYO 'Pick Your Own' Farm,4.6,329,2021-11-16T14:35:59,0.09033613445378151,120,0.25,4.7
3,Crockford Bridge Pick Your Own Farm,4.2,1380,2021-11-16T14:39:00,0.21176470588235297,52,0.2,3.4
4,Copas Farms PYO,4.4,295,2021-11-16T14:40:42,0.09146341463414634,83,0.5,4.5
5,Copas Farms PYO,4.3,581,2021-11-16T14:43:27,0.11880434782608695,93,0.07,4.4
6,Hildred's,4.6,23,2021-11-16T14:43:44,3.5,3,3.0,5.0
7,Grove Farm Pick Your Own,4.7,148,2021-11-16T14:44:39,0.4225,27,0.015,4.8
8,Brocksbushes Pick Your Own Fruit Farm,4.4,1749,2021-11-16T14:47:22,0.3888888888888889,10,0.5,5.0
9,Lotmead Farm Pick Your Own,4.5,598,2021-11-16T14:50:10,0.22645833333333334,49,0.13,4.3
10,Sandhill Strawberry Farm,3.9,45,2021-11-16T14:50:35,0.9154166666666667,13,0.015,4.2
11,"Sopley Farm Shop, PYO & Bakery",4.6,463,2021-11-16T14:53:21,0.0893089430894309,124,0.015,4.5
12,Hill Farm PYO and Farm Shop,4.8,414,2021-11-16T14:56:04,0.03881889763779527,128,0.07,4.9
13,Garsons Farm Pick your Own,4.5,593,2021-11-16T14:58:48,0.07051612903225807,156,0.07,4.5
14,Home Cottage Farm,4.8,47,2021-11-16T14:59:13,1.75,6,0.25,4.8
15,Chilton Manor Farm,4.5,188,2021-11-16T15:00:19,0.2692307692307692,40,0.5,4.4
16,Manor Farm Fruits,4.6,1189,2021-11-16T15:02:59,0.3333333333333333,10,1.0,4.9
17,The Pop Up Farm,4.5,263,2021-11-16T15:04:37,0.1917543859649123,58,0.07,4.5
18,Millets Farm PYO,4.5,60,2021-11-16T15:05:05,0.28125,25,0.25,4.3
19,Rectory Farm Oxford,4.5,589,2021-11-16T15:07:49,0.07462585034013605,148,0.03,4.7
20,Coach & Horses,4.5,294,2021-11-16T15:09:33,0.0,294,0.015,0.0
21,Marsham Arms Restaurant,4.5,443,2021-11-16T15:32:37,0.0,443,0.015,0.0
22,Bell's Farm Shop & Pick Your Own,4.5,365,2021-11-16T15:34:45,0.0,365,0.015,0.0
23,Lower Ladysden PYO and Maize Maze.,4.7,214,2021-11-16T15:36:04,0.1535211267605634,72,0.1,4.8
24,Grange Farm Harpole PYO and Maize Maze,4.6,272,2021-11-16T15:38:45,0.17647058823529413,18,1.0,4.8
25,Milebush Farm Pyo,4.3,71,2021-11-16T15:39:19,0.31666666666666665,13,0.2,4.2
26,Pips Pick Your Own,4.5,46,2021-11-16T15:39:43,0.4027777777777778,19,0.75,4.5
27,Hawkswick Lodge fruit farm,4.6,117,2021-11-16T15:40:29,0.11764705882352941,35,2.0,4.7
28,Poynton Fruit Farm,4.2,23,2021-11-16T15:41:04,0.0,2,4.0,5.0
29,"Wymeswold Fruit Farm, K. Mills & Son",4.6,375,2021-11-16T15:43:10,0.06565656565656566,100,0.5,4.6
30,West Green Fruits,4.6,59,2021-11-16T15:43:37,0.11764705882352941,18,2.0,4.8
31,Horsforth Pick Your Own,4.7,223,2021-11-16T15:45:33,0.09469827586206896,117,0.015,4.8
32,Scaddows Farm Shop & PYO,4.6,307,2021-11-16T15:47:19,0.175,41,3.0,4.7
33,Goodall's Strawberries,4.7,83,2021-11-16T15:47:56,0.25,21,2.0,4.7
34,Lenctenbury Farm,4.6,60,2021-11-16T15:48:24,0.34444444444444444,10,0.9,4.5
35,"Spilman's Cafe, Pick Your Own Pumpkins and Farm Shop",4.6,349,2021-11-16T15:50:21,0.19589285714285715,57,0.03,4.6
36,Lathcoats Farm,4.6,854,2021-11-16T15:53:06,0.10092592592592593,109,0.1,4.7
37,Graveley Fruit Farm,4.3,300,2021-11-16T15:55:48,0.0855072463768116,70,0.1,4.4
38,Cammas Hall Farm,4.5,934,2021-11-16T15:58:32,0.08036764705882353,137,0.07,4.5
39,Kenyon Hall Farm,4.4,1737,2021-11-16T16:01:17,0.04976851851851852,217,0.25,4.6
40,Ansty P Y O & Farmshop,4.5,110,2021-11-16T16:03:59,0.38821428571428573,29,0.13,4.4
41,Cat & Fiddle Farm & Café,4.6,299,2021-11-16T16:05:41,0.09953703703703703,109,0.25,4.7
42,Hatter's Farm PYO Pumpkin,4.6,48,2021-11-16T16:06:06,0.3036111111111111,37,0.07,4.6
