createdAt,title,rating,body,monthsAgo,date,farmName,avgRating,numReview,country
2021-11-16T14:32:54,Sarah Hogan,5,"Great experience, highly recommend!
Advanced booking online is essential- £4 per person which is fully redeemable against the cost of your fruit/ veg! …",2.0,2 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Mohammed Sarwar,4,Very large and spacious.  Plenty of fruits to pick. The quality of the fruits and veg are good. …,3.0,3 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Latif Yahya,3,Do not expect fruit and vegetables to be cheaper just because you are picking your own. They are pricier compared to markets. It is however a good fun to spend few hours in the nature and seeing all the fruit and vegetables before they hit the shelves.,3.0,3 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Sean McIntyre,5,Such a lovely experience. Staff are super friendly and the strawberries were delicious. I would say go earlier rather than later to avoid the rush and kids running around. Highly recommend,3.0,3 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Hasina Ahmed,3,"The weather was good at the beginning, later it started raining, however, this didn't stop me and my family enjoying picking fruits especially the strawberries, raspberries, spinach, sweet corn and onions which were ready to pick, however, …",2.0,2 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Jason Marks,5,"Went a couple of years ago. Enjoyed it then, so thought we'd go back again. Weather was terrible but that didn't spoil the day. Very friendly staff. Good value for money. Would like to see teas and coffees for customers to purchase. Will visit again.",3.0,3 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Nang,4,"It was fun to spend times, but not much choices - for fruits just strawberries, black berries and raspberries and for vegetables spinach, french beans only !  Maybe because of the season! Need to buy tickets ahead for entry and you can choose the time slot ! Dogs are not allowed according to their website, except for guide dogs !",2.0,2 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Sky X,5,"It is a big and beautiful farm . If you are fan of the fresh , organic and tasty fruits and vegetables it is just perfect place to visit.  I went there for the first time and I did enjoyed it with my six years old son . I must say he had so …",3.0,3 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Mikola Kirlew,5,"Definitely worth a visit! fresh produce good for all ages to experience.  Wear good footware, especially if it's been raining so you are prepared for the mud.",3.0,3 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Lorraine Gibbs-Rowe,5,"Book your 2hr slot in advance, ample time to get around the farm!

Not at all too busy,able to amble around and pick at leisure 😊 …",3.0,3 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Golda Adelman,5,"Love love love this place. Not enough strawberries, but way enough of the other fruit and  veg. My son said it was his best day out!",2.0,2 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Katarzyna Moroz,5,Very nice place alot  fields and vegetables  to pick.,1.0,a month ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Clarissa Jordan,5,"Excellent family day out. Extensive range of fruit and vegetable to pick from, such as strawberries, blackberries to sweetcorn, spinach. Kids loved it, and the entrance fee subtracted from the price weight. Great!",2.0,2 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Eng.Motasem Alsawadi,4,"It's a beautiful and nice farm. There is a variety of fruits and vegetables. As well as, they arranged most of the fields in order to make your visit easy and quick. However, you need to walk a little bit more.",4.0,4 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Anand Pajpani,4,"Not as busy as usual, just as well as we wanted to get there before everything opens up next week.  Lovely experience as always....and to top it all off, enjoyed their lovely little tubs of ice creams after paying for our picked strawberries, raspberries, beetroot, spinach, redcurrants and broad beans",3.0,3 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Gordon Carver,5,Wonderful picking farm. Visited with my young kids who loved picking the fruit and running through the corn fields! Prices very reasonable. When we visited most fruits and veg were available.,2.0,2 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Simona Dice,5,"Amazing place to get fresh berries, fruits and vegetables . I would suggest to book a slot as early in a morning as possible to get the best experience. They provide you with containers so you don't need to worry to bring your own",4.0,4 months ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,sunrise sunshine (SunriseS),5,"Lovely place.Me and my daughter had the most lovely day,here.
I will definitely come back",1.0,a month ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Jonadro Jace,5,"Lovely place, friendly staff, definitely we going again",0.25,a week ago,Parkside Farm Pick Your Own,4.6,1586,England
2021-11-16T14:32:54,Safirah Irani,5,Wow a fantastic day out just picking strawberries and other fresh fruit snd beg,3.0,3 months ago,Parkside Farm Pick Your Own,4.6,1586,England
