farmName,avgRating,numReview,createdAt,frequency,totalReviewsLastYear,latestReview,avgRatingLastYear,country,clusterGroup
Parkside Farm Pick Your Own,4.6,1586,2021-11-16T14:32:54,0.0680379746835443,159,0.25,4.4,England,0
F W Elgey Pyo Fruit And Vegetables,4.9,27,2021-11-16T14:33:12,0.14285714285714285,8,3.0,4.8,England,2
Felderland PYO 'Pick Your Own' Farm,4.6,329,2021-11-16T14:35:59,0.09033613445378151,120,0.25,4.7,England,0
Crockford Bridge Pick Your Own Farm,4.2,1380,2021-11-16T14:39:00,0.21176470588235297,52,0.2,3.4,England,1
Copas Farms PYO,4.4,295,2021-11-16T14:40:42,0.09146341463414634,83,0.5,4.5,England,0
Copas Farms PYO,4.3,581,2021-11-16T14:43:27,0.11880434782608695,93,0.07,4.4,England,0
Hildred's,4.6,23,2021-11-16T14:43:44,3.5,3,3.0,5.0,England,2
Grove Farm Pick Your Own,4.7,148,2021-11-16T14:44:39,0.4225,27,0.015,4.8,England,0
Brocksbushes Pick Your Own Fruit Farm,4.4,1749,2021-11-16T14:47:22,0.3888888888888889,10,0.5,5.0,England,0
Lotmead Farm Pick Your Own,4.5,598,2021-11-16T14:50:10,0.22645833333333334,49,0.13,4.3,England,0
Sandhill Strawberry Farm,3.9,45,2021-11-16T14:50:35,0.9154166666666667,13,0.015,4.2,England,0
"Sopley Farm Shop, PYO & Bakery",4.6,463,2021-11-16T14:53:21,0.0893089430894309,124,0.015,4.5,England,0
Hill Farm PYO and Farm Shop,4.8,414,2021-11-16T14:56:04,0.03881889763779527,128,0.07,4.9,England,0
Garsons Farm Pick your Own,4.5,593,2021-11-16T14:58:48,0.07051612903225807,156,0.07,4.5,England,0
Home Cottage Farm,4.8,47,2021-11-16T14:59:13,1.75,6,0.25,4.8,England,0
Chilton Manor Farm,4.5,188,2021-11-16T15:00:19,0.2692307692307692,40,0.5,4.4,England,0
Manor Farm Fruits,4.6,1189,2021-11-16T15:02:59,0.3333333333333333,10,1.0,4.9,England,0
